,regression_slope,correlation_coefficient,output_val,output_&_lastval_difference,output_time,section_&_output_time_difference,section_start_time,section_end_time,section_time_difference,section_max_value,section_min_value,section_max_min_difference
14,-7.912799883178135e-08,-0.2216422777242999,1.4970666666666668,0.0006666666666672594,13079940.0,60.0,13078140.0,13079880.0,1740.0,1.4967333333333332,1.4961,0.0006333333333332636
15,-2.409869101651553e-07,-0.44903061631404306,1.4965,-9.999999999998899e-05,13082820.0,60.0,13080360.0,13082760.0,2400.0,1.4972,1.495766666666667,0.0014333333333331755
16,2.632073698053863e-08,0.04592392173955299,1.4963,-0.00019999999999997797,13084020.0,60.0,13083000.0,13083960.0,960.0,1.4965,1.4959,0.0005999999999999339
17,3.547957468179123e-08,0.02675042588279838,1.4959999999999998,-0.00010000000000021103,13085520.0,120.0,13084080.0,13085400.0,1320.0,1.4961,1.4944999999999995,0.00160000000000049
18,8.392636872568247e-07,0.5807980021366688,1.4965333333333335,0.00023333333333352968,13087380.0,180.0,13085640.0,13087200.0,1560.0,1.4971000000000003,1.495,0.002100000000000213
19,1.3725762413811696e-06,0.6875371953665919,1.4971000000000003,-9.999999999976694e-05,13088460.0,120.0,13087440.0,13088340.0,900.0,1.4978333333333336,1.4957333333333331,0.002100000000000435
20,5.192696994003591e-07,0.7662024812504732,1.4974,-0.00029999999999996696,13089780.0,180.0,13088520.0,13089600.0,1080.0,1.4977,1.4969,0.0008000000000001339
21,4.873076417203828e-07,0.8491015650311493,1.4989333333333337,0.0004333333333337297,13093980.0,420.0,13090860.0,13093560.0,2700.0,1.4987,1.4970333333333332,0.0016666666666667052
22,-1.5017873384416505e-08,-0.05665249669813709,1.4982333333333333,0.00019999999999975593,13097160.0,120.0,13094040.0,13097040.0,3000.0,1.4985,1.4977333333333334,0.0007666666666665822
23,-4.589510784200612e-07,-0.7635971324067125,1.4979000000000002,0.00010000000000021103,13099200.0,60.0,13097220.0,13099140.0,1920.0,1.4986,1.4977,0.0008999999999999009
24,7.012035583464854e-07,0.8559499696245998,1.4991,3.333333333332966e-05,13101240.0,60.0,13099560.0,13101180.0,1620.0,1.4990666666666668,1.4977666666666665,0.001300000000000301
25,1.8291215403127925e-06,0.9830038265546202,1.501,0.0001333333333330966,13102440.0,120.0,13101360.0,13102320.0,960.0,1.5008666666666668,1.499,0.0018666666666666831
26,4.803722885235996e-07,0.702335451126926,1.5011,0.00010000000000021103,13105200.0,180.0,13102500.0,13105020.0,2520.0,1.5019999999999998,1.5002000000000002,0.0017999999999995797
27,1.3474895022787177e-06,0.19099366611855217,1.5012666666666667,-0.00013333333333331865,13110240.0,360.0,13105680.0,13109880.0,4200.0,1.5017000000000005,1.4698,0.031900000000000484
28,2.341299238160513e-08,0.07461185039599183,1.5011,-0.00023333333333330764,13112340.0,240.0,13110360.0,13112100.0,1740.0,1.5013333333333334,1.5005999999999995,0.0007333333333339187
29,1.2892440213088726e-07,0.6332228755907364,1.5012666666666667,0.0001666666666666483,13114980.0,180.0,13112640.0,13114800.0,2160.0,1.5012,1.5008,0.000400000000000178
30,3.382760492559419e-07,0.7693502238731617,1.5018,9.99999999995449e-05,13116480.0,120.0,13115220.0,13116360.0,1140.0,1.5018,1.5013,0.0004999999999999449
31,-4.154965900621633e-08,-0.5318824894895051,1.501966666666667,0.00016666666666687036,13119360.0,360.0,13116660.0,13119000.0,2340.0,1.5019,1.5017000000000005,0.00019999999999953388
32,-3.5063610592569407e-07,-0.6672894671425453,1.5007,0.0001666666666666483,13122000.0,240.0,13119720.0,13121760.0,2040.0,1.5017000000000005,1.5005333333333333,0.0011666666666672043
33,2.9712827416021544e-07,0.8697968177720955,1.5011,0.0001333333333335407,13124460.0,660.0,13122180.0,13123800.0,1620.0,1.5011,1.5005666666666666,0.0005333333333334966
